id,age,year,female,married,educ,empl,income,rent,equity,finassets,liqassets,houses,business,vehicles,assets,mortages,debt,networth,owner,weight
157,59,1989,0,1,4,1,4088868.5,0,15954647,16812324.6,177530,1095152.8,0,80695.46891,24178668.1,322781.9,769488.9,23409179.1,1,167.5697
158,74,1989,0,1,2,2,216469.5,0,161390.9,730870.4,136029.5,576396.2,0,41500.52687,1763772.4,0,0,1763772.4,1,10355.56
159,58,1989,0,1,4,2,1123236.2,0,1472115.9,4378766.7,438061.1,576396.2,4265331.9,136029.5047,13276018.5,168307.7,1009846.2,12266172.4,1,379.0525
160,48,1989,0,1,4,1,7215.7,4611.169652,0,917622.8,0,0,2305.6,16139.09378,959123.3,0,5029056.9,-4069933.6,0,1
161,38,1989,0,1,4,1,420912.9,0,41500.5,345837.7,119890.4,1037513.2,0,34583.77239,3377681.8,357365.6,477256.1,2900425.7,1,8020.316
162,74,1989,0,1,4,2,13755434.6,0,6686196,12161960,138335.1,461117,27032982.1,66861.95996,40875713.4,0,4668809.3,36206904.1,1,4128.154
163,81,1989,1,0,1,3,21647,0,0,89917.8,29972.6,27667,0,991.4014752,118576.2,0,0,118576.2,1,37702.35
164,49,1989,0,1,4,1,190012.1,0,4611.2,1306805.5,202430.3,922233.9,9805652.3,13579.89463,24187406.2,883039,1316488.9,22870917.3,1,1533.505
165,54,1989,0,1,4,1,1183366.6,0,1613909.4,3474516.3,1085930.5,6916754.5,13197167.5,46111.69652,35277753.4,2075026.3,2907342.5,32370411,1,804.1705
166,46,1989,1,0,3,1,40888.7,0,4611.2,12219.6,7608.4,149863,0,13833.50896,194360.8,18444.7,18444.7,175916.1,1,38997.54
167,53,1989,1,0,2,1,38483.5,0,115.3,11182.1,6455.6,195974.7,0,23055.84826,230212.6,46111.7,62758,167454.6,1,85720.46
168,31,1989,0,1,4,2,254953,0,0,126230.8,118737.6,461117,0,21626.38567,735781.3,378115.9,470339.3,265442,1,5126.04
169,29,1989,0,1,2,1,158744.3,0,66862,195974.7,11527.9,438061.1,0,41500.52687,675536.4,281281.3,314020.7,361515.7,1,41593.23
170,47,1989,1,0,3,1,72156.5,0,0,5764,5764,138335.1,0,41500.52687,185599.6,59945.2,116086.2,69513.4,1,37147.15
171,38,1989,0,1,4,2,1296411.8,0,0,219030.6,46111.7,1729188.6,3209374.1,20750.26344,5819296.1,1141264.5,1694604.8,4124691.3,1,3550.01
172,61,1989,0,1,3,1,144313,0,23055.8,126807.2,6916.8,195974.7,0,23055.84826,461117,0,11527.9,449589,1,17017.6
173,69,1989,0,1,4,3,519526.8,0,1752244.5,3452613.3,411546.9,1152792.4,0,382727.0811,10648343.5,0,0,10648343.5,1,1818.332
174,35,1989,0,1,4,1,28862.6,1452.51844,0,19159.4,714.7,0,0,23055.84826,42215.3,0,31817.1,10398.2,0,59878.78
175,38,1989,1,0,3,1,64940.9,1106.680717,0,9014.8,3573.7,0,0,25361.43309,34376.3,0,11873.8,22502.5,0,60944.09
176,32,1989,0,0,2,4,12026.1,461.1169652,0,1383.4,0,0,0,2305.584826,3688.9,0,922.2,2766.7,0,60909.7
177,54,1989,0,1,2,2,108234.8,1613.909378,0,23747.5,5302.8,0,0,73778.71444,97526.2,0,48878.4,48647.8,0,41053.67
178,48,1989,0,1,2,3,319893.8,0,0,123579.3,8300.1,288198.1,0,78389.88409,1218732.1,108362.5,110207,1108525.2,1,26259.48
179,37,1989,0,1,2,1,69751.3,760.8429926,0,8622.9,1383.4,0,0,11527.92413,20150.8,0,2305.6,17845.2,0,17256.66
180,53,1989,0,1,2,1,401671.2,0,933761.9,1067946.9,118045.9,403477.3,922233.9,32278.18757,3364309.4,106056.9,415927.5,2948381.9,1,21482.82
181,49,1989,0,1,4,2,108234.8,0,23055.8,424227.6,78389.9,138335.1,46111.7,25361.43309,1295738.7,4611.2,20750.3,1274988.4,1,20117.66
182,61,1989,0,1,4,2,673460.7,0,0,25430.6,25361.4,6916754.5,14711936.8,53028.451,36924010.2,2035831.4,2081943.1,34842067.1,1,10.86457
183,57,1989,0,1,4,1,865878,0,360824,491089.6,11527.9,3227818.8,345837.7,99140.14752,7045867.2,1152792.4,1521686,5524181.2,1,18.30135
184,68,1989,0,1,4,3,2405216.7,0,5805462.6,30163966.3,16784657.5,2305584.8,9222339.3,166002.1075,43241243.4,0,0,43241243.4,1,1452.471
185,28,1989,0,1,2,2,2554340.2,0,138335.1,2835869.3,1360295,634035.8,21903055.8,297420.4426,25670381.5,368893.6,368893.6,25301487.9,1,136.1927
186,43,1989,0,1,4,2,384834.7,0,0,670533.2,41108.6,576396.2,172918.9,80695.46891,1569711.3,380421.5,447398.7,1122312.6,1,4907.793
187,41,1989,0,1,4,2,2477373.2,0,2563810.3,8247076.9,495700.7,922233.9,195283034.8,48417.28135,204500762.9,170613.3,170613.3,204330149.6,1,47.93726
188,73,1989,0,1,2,1,242926.9,0,0,76084.3,76084.3,806954.7,0,36889.35722,1226571.1,0,19597.5,1206973.7,1,4998.63
